,all,fisher,relief,spec,f,chi2_nor,RFS,mrmr,cmim,jmi,borutashap,rf,lasso_svm,lasso_lg,lg,svc,rfs,cfs,chi2,shap
1004,1.0,0.05,0.31666666666666665,0.6833333333333333,0.05,0.05,0.11666666666666667,0.11666666666666667,0.05,0.05,0.05,0.05,0.15,0.8,0.05,0.05,0.06666666666666667,0.11666666666666667,,
1019,1.0,,,,,,,,,,,,,,,,0.8125,0.625,,
1020,1.0,0.46875,0.453125,,0.46875,0.28125,0.171875,0.890625,0.328125,0.34375,0.484375,0.328125,0.578125,0.421875,,,,0.109375,,
1021,1.0,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.5,0.5,0.8,,,,0.6,0.8,
1045,1.0,0.010638297872340425,0.07446808510638298,0.574468085106383,0.09574468085106383,0.13829787234042554,0.6702127659574468,0.06382978723404255,0.0425531914893617,0.10638297872340426,0.43617021276595747,0.010638297872340425,0.2553191489361702,0.14893617021276595,0.6595744680851063,0.23404255319148937,0.3404255319148936,0.06382978723404255,,
1049,1.0,0.2702702702702703,0.8648648648648649,0.8378378378378378,0.2702702702702703,0.21621621621621623,0.8108108108108109,0.3783783783783784,0.8918918918918919,0.8918918918918919,0.6756756756756757,0.5135135135135135,0.7297297297297297,0.6756756756756757,0.43243243243243246,0.4594594594594595,0.5135135135135135,0.1891891891891892,,
1050,1.0,0.05405405405405406,0.7837837837837838,0.9459459459459459,0.05405405405405406,0.05405405405405406,0.8648648648648649,0.43243243243243246,0.10810810810810811,0.8378378378378378,0.8108108108108109,0.918918918918919,0.972972972972973,0.972972972972973,0.1891891891891892,0.2702702702702703,0.3783783783783784,0.21621621621621623,,
1054,1.0,,,0.9230769230769231,,,0.48717948717948717,,,,,0.07692307692307693,0.6923076923076923,0.6923076923076923,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.23076923076923078,,
1056,1.0,0.13157894736842105,0.3157894736842105,0.6842105263157895,0.13157894736842105,0.15789473684210525,,,,,0.2631578947368421,0.13157894736842105,,,0.2894736842105263,0.5526315789473685,0.47368421052631576,0.18421052631578946,,0.07894736842105263
1059,1.0,0.034482758620689655,0.2413793103448276,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.1724137931034483,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.3448275862068966,,
1060,1.0,0.5517241379310345,0.5517241379310345,0.8620689655172413,0.5517241379310345,0.13793103448275862,0.41379310344827586,0.13793103448275862,0.034482758620689655,0.8620689655172413,0.06896551724137931,0.06896551724137931,0.2413793103448276,0.06896551724137931,0.3103448275862069,0.3103448275862069,0.5862068965517241,0.20689655172413793,,
1061,1.0,0.3448275862068966,0.1724137931034483,0.6551724137931034,0.3448275862068966,0.20689655172413793,0.1724137931034483,0.13793103448275862,0.7241379310344828,0.41379310344827586,0.2413793103448276,0.06896551724137931,0.3793103448275862,0.4482758620689655,0.7241379310344828,0.6551724137931034,0.27586206896551724,0.3448275862068966,,
1062,1.0,0.034482758620689655,0.3103448275862069,0.1724137931034483,0.034482758620689655,0.9655172413793104,0.8620689655172413,0.6206896551724138,0.2413793103448276,0.3103448275862069,0.06896551724137931,0.034482758620689655,0.3793103448275862,0.27586206896551724,0.9655172413793104,0.10344827586206896,0.9655172413793104,0.20689655172413793,,
1063,1.0,0.3333333333333333,0.9523809523809523,0.8095238095238095,0.3333333333333333,0.2857142857142857,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.9523809523809523,0.9523809523809523,0.19047619047619047,0.2857142857142857,0.23809523809523808,0.047619047619047616,0.42857142857142855,,
1064,1.0,0.9310344827586207,0.06896551724137931,0.20689655172413793,0.9310344827586207,0.10344827586206896,0.27586206896551724,0.20689655172413793,0.034482758620689655,0.20689655172413793,0.3103448275862069,0.4482758620689655,0.2413793103448276,0.06896551724137931,0.3448275862068966,0.3448275862068966,0.13793103448275862,0.3448275862068966,,
1065,1.0,0.1794871794871795,0.05128205128205128,0.07692307692307693,0.1794871794871795,0.2564102564102564,0.02564102564102564,0.10256410256410256,0.05128205128205128,0.1794871794871795,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.1794871794871795,,
1066,1.0,0.9680851063829787,0.9361702127659575,0.6914893617021277,0.8297872340425532,0.9574468085106383,0.2872340425531915,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.05319148936170213,0.010638297872340425,0.18085106382978725,0.3404255319148936,0.5851063829787234,0.1276595744680851,0.5106382978723404,0.07446808510638298,,
1067,1.0,0.9523809523809523,0.8571428571428571,0.5238095238095238,0.9523809523809523,0.6190476190476191,0.7619047619047619,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.9523809523809523,0.9523809523809523,0.7142857142857143,0.42857142857142855,0.9523809523809523,0.9523809523809523,0.8095238095238095,0.38095238095238093,,
1068,1.0,0.38095238095238093,0.8571428571428571,0.047619047619047616,0.38095238095238093,0.047619047619047616,0.14285714285714285,0.23809523809523808,0.9523809523809523,0.9047619047619048,0.6666666666666666,0.047619047619047616,0.14285714285714285,0.7142857142857143,0.6666666666666666,0.14285714285714285,0.8571428571428571,0.38095238095238093,,
1069,1.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.08333333333333333,0.19444444444444445,,
1071,1.0,0.1891891891891892,0.13513513513513514,0.05405405405405406,0.1891891891891892,0.05405405405405406,0.918918918918919,0.6216216216216216,0.10810810810810811,0.10810810810810811,0.05405405405405406,0.05405405405405406,0.35135135135135137,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.4594594594594595,0.2702702702702703,,
1441,1.0,0.1282051282051282,0.6666666666666666,0.3076923076923077,0.1282051282051282,0.02564102564102564,0.02564102564102564,0.1282051282051282,0.15384615384615385,0.23076923076923078,0.02564102564102564,0.07692307692307693,0.2564102564102564,0.48717948717948717,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.15384615384615385,,
1442,1.0,0.05405405405405406,0.05405405405405406,0.02702702702702703,0.05405405405405406,0.10810810810810811,0.24324324324324326,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.05405405405405406,0.16216216216216217,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.1891891891891892,,
1443,1.0,0.21621621621621623,0.43243243243243246,0.24324324324324326,0.21621621621621623,0.2702702702702703,0.3783783783783784,0.7837837837837838,0.40540540540540543,0.40540540540540543,0.10810810810810811,0.10810810810810811,0.1891891891891892,0.35135135135135137,0.16216216216216217,0.16216216216216217,0.6756756756756757,0.21621621621621623,,
1444,1.0,0.7027027027027027,0.7027027027027027,0.4864864864864865,0.7027027027027027,0.7297297297297297,0.8648648648648649,0.5945945945945946,0.972972972972973,0.972972972972973,0.16216216216216217,0.16216216216216217,0.8918918918918919,0.43243243243243246,0.5405405405405406,0.3783783783783784,,0.16216216216216217,,
1446,1.0,0.32432432432432434,0.32432432432432434,0.05405405405405406,0.32432432432432434,0.08108108108108109,0.6216216216216216,0.05405405405405406,0.08108108108108109,0.08108108108108109,0.2702702702702703,0.21621621621621623,0.4594594594594595,0.05405405405405406,0.4594594594594595,0.43243243243243246,0.4864864864864865,0.21621621621621623,,
1447,1.0,0.2702702702702703,0.08108108108108109,0.02702702702702703,0.2702702702702703,0.35135135135135137,0.32432432432432434,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.08108108108108109,0.4594594594594595,0.35135135135135137,0.5405405405405406,0.35135135135135137,0.35135135135135137,0.5675675675675675,0.16216216216216217,,
1448,1.0,0.1794871794871795,0.5897435897435898,0.6153846153846154,0.1794871794871795,0.8205128205128205,0.1282051282051282,0.358974358974359,0.46153846153846156,0.3333333333333333,0.1794871794871795,0.23076923076923078,0.15384615384615385,0.7692307692307693,0.05128205128205128,0.05128205128205128,0.07692307692307693,0.1794871794871795,,
1450,1.0,0.02564102564102564,0.41025641025641024,0.6410256410256411,0.02564102564102564,0.23076923076923078,0.4358974358974359,0.9487179487179487,0.6923076923076923,0.9487179487179487,0.5897435897435898,0.02564102564102564,0.1794871794871795,0.5641025641025641,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.2564102564102564,,
1451,1.0,0.2972972972972973,0.5405405405405406,0.5135135135135135,0.2972972972972973,0.13513513513513514,0.918918918918919,0.21621621621621623,0.24324324324324326,0.24324324324324326,0.2702702702702703,0.08108108108108109,0.5405405405405406,0.7027027027027027,0.13513513513513514,0.13513513513513514,0.7837837837837838,0.21621621621621623,,
