,,,all,fisher,relief,spec,f,chi2_nor,RFS,mrmr,cmim,jmi,borutashap,rf,lasso_svm,lasso_lg
en,Kendall rank correlation coefficient,837,1.0,1.0,0.3888888888888889,0.2808080808080808,1.0,1.0,0.41666666666666663,0.9999999999999998,0.0,0.0,1.0,1.0,0.33933933933933935,
en,Kendall rank correlation coefficient,838,0.9999999999999998,1.0,1.0,0.03623188405797101,1.0,1.0,0.9999999999999999,1.0,0.4909090909090909,1.0,1.0,1.0,0.9999999999999999,0.11578947368421053
en,Kendall rank correlation coefficient,845,0.9999999999999999,,1.0,,,,,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,,
en,Kendall rank correlation coefficient,847,1.0,1.0,0.07142857142857142,0.9999999999999998,1.0,1.0,-0.6666666666666669,0.7179487179487178,0.7179487179487178,0.7454545454545454,0.19999999999999998,0.9999999999999998,0.8666666666666666,0.8666666666666666
en,Kendall rank correlation coefficient,849,0.9999999999999998,0.4901960784313726,0.9999999999999999,0.2987012987012987,0.4901960784313726,0.4901960784313726,0.1383399209486166,0.5272727272727272,0.9285714285714285,0.9285714285714285,0.9999999999999999,0.9999999999999999,0.06666666666666667,0.6666666666666665
en,Kendall rank correlation coefficient,850,1.0,0.2298387096774194,1.0,0.05911330049261083,0.2298387096774194,0.2298387096774194,1.0,0.4999999999999999,1.0,1.0,0.2753623188405797,0.30882352941176466,0.37681159420289856,0.2827586206896552
en,Kendall rank correlation coefficient,851,0.9999999999999999,0.1299518696778971,0.3115942028985507,0.3626373626373627,0.1299518696778971,0.1588296760710554,0.14893617021276595,-0.1619047619047619,0.1088709677419355,0.20671731307477006,0.3143669985775249,0.3029871977240398,0.21666666666666667,0.2753623188405797
en,Kendall rank correlation coefficient,855,0.9999999999999999,0.3888888888888889,0.9999999999999999,-0.2222222222222222,0.3888888888888889,,0.4444444444444444,-0.19999999999999998,0.9999999999999999,0.9999999999999999,0.21428571428571427,0.9999999999999999,,
en,Kendall rank correlation coefficient,863,0.9999999999999999,,,,,,,,,,,,,
en,Kendall rank correlation coefficient,866,1.0,0.9999999999999999,0.9999999999999999,0.17575757575757575,0.9999999999999999,0.9999999999999999,0.6190476190476191,0.45054945054945056,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0
en,Kendall rank correlation coefficient,868,0.9999999999999998,0.0,0.0,,0.0,1.0,0.4666666666666666,,,,0.39999999999999997,0.0,0.5111111111111111,
en,Kendall rank correlation coefficient,869,0.9999999999999999,0.9999999999999999,0.9999999999999999,,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.6666666666666669,0.9999999999999999,0.9999999999999999,0.6666666666666669,0.9999999999999999,0.7222222222222222,
en,Kendall rank correlation coefficient,873,1.0,0.20588235294117643,0.23809523809523814,0.25396825396825395,0.20588235294117643,0.2882882882882883,0.4444444444444444,0.05454545454545454,0.14285714285714288,0.23809523809523814,-0.14285714285714288,0.14285714285714288,0.23152709359605908,
en,Kendall rank correlation coefficient,876,1.0,1.0,0.6,0.16134751773049646,1.0,1.0,-0.2,-0.6666666666666669,1.0,1.0,1.0,1.0,0.8095238095238096,1.0
en,Kendall rank correlation coefficient,879,0.9999999999999998,0.9999999999999999,0.7999999999999999,0.1383399209486166,0.9999999999999999,0.9999999999999999,0.7142857142857144,0.14624505928853754,1.0,1.0,0.9999999999999999,0.9999999999999999,0.7435897435897434,
en,Kendall rank correlation coefficient,880,0.9999999999999999,,1.0,1.0,,,0.4285714285714286,,,,,,0.6666666666666669,0.6666666666666669
en,Kendall rank correlation coefficient,882,1.0,1.0,0.42857142857142855,0.07142857142857142,1.0,0.19999999999999998,0.33333333333333337,1.0,1.0,1.0,-1.0,1.0,1.0,0.4666666666666666
en,Kendall rank correlation coefficient,888,1.0,0.9999999999999999,0.4065934065934066,0.40425531914893625,0.9999999999999999,0.9999999999999999,0.6470588235294119,0.14285714285714282,0.1717687074829932,0.14285714285714282,0.9285714285714285,1.0,0.911111111111111,0.6727272727272727
en,Kendall rank correlation coefficient,889,0.9999999999999998,0.0,0.5555555555555556,,0.0,0.0,0.7142857142857143,0.7333333333333333,0.6363636363636364,0.4358974358974358,0.0,0.7142857142857142,0.7857142857142856,0.9999999999999998
en,Kendall rank correlation coefficient,896,0.9999999999999998,1.0,1.0,,1.0,1.0,0.9999999999999999,-0.06666666666666665,0.6666666666666669,0.6666666666666669,1.0,0.38181818181818183,0.4358974358974358,
